"Drug name"	"Active ingredient"	"Approval Date"	"Indication"	"Study ID"	"Study type"	"original_duration_years"	"Study classification"	"Neonate"	"Infant"	"Early childhood"	"Late childhood"	"Adolescent"	"Unspecified"	"ATC_category"	"BLA"	"Study report submission due date"	"Submission date"	"Status of current PMR"	"New PMR #2"	"New PMR replacing superseded PMR"	"PREA labeling change type"
"Dalvance"	NA	2014-05-23	NA	"PMR 2145-3"	"Pharmacokinetic studies or clinical trials"	3.1047227926078	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	NA	"Antiinfectives for systemic use"	"N"	2017-06-30	NA	"Released"	NA	NA	NA
"Dalvance"	NA	2014-05-23	NA	"PMR 2145-4"	"Pharmacokinetic studies or clinical trials"	6.10540725530459	"safety"	"Y"	"Y"	"N"	"N"	"N"	NA	"Antiinfectives for systemic use"	"N"	2020-06-30	2020-09-23	"Fulfilled"	NA	"2145-10"	NA
"Entyvio"	"vedolizumab"	2014-05-20	"To treat adult patients with moderate to severe ulcerative colitis and adult patients with moderate to severe Crohn‘s disease"	"PMR 2719-2"	"Pharmacokinetic studies or clinical trials"	6.19849418206708	"safety"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Immunomodulating agents"	"125476"	2020-07-31	2020-11-18	"Fulfilled"	NA	"2719-25"	"NONE"
"Entyvio"	NA	2014-05-20	NA	"PMR 2719-3"	"Pharmacokinetic studies or clinical trials"	13.0294318959617	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	NA	"Immunomodulating agents"	"125476"	2027-05-31	NA	"Ongoing"	"2719-28"	"2719-26"	NA
"Entyvio"	NA	2014-05-20	NA	"PMR 2719-4"	"Pharmacokinetic studies or clinical trials"	14.113620807666	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	NA	"Immunomodulating agents"	"125476"	2028-06-30	NA	"Ongoing"	"2719-29"	"2719-27"	NA
"Sivextro (tablet)"	"tedizolid phosphate"	2014-06-20	"To treat adults with skin infections"	"PMR 2159-1"	NA	3.0280629705681	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2017-06-30	2019-08-19	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Sivextro (tablet)"	NA	2014-06-20	NA	"PMR 2159-2"	NA	4.94455852156057	"efficacy"	"N"	"Y"	"Y"	"Y"	"N"	NA	"Antiinfectives for systemic use"	"N"	2019-05-31	2024-06-06	"Submitted"	NA	"2159-7"	NA
"Sivextro (tablet)"	NA	2014-06-20	NA	"PMR 2159-3"	NA	5.69472963723477	"efficacy"	"Y"	"Y"	"N"	"N"	"N"	NA	"Antiinfectives for systemic use"	"N"	2020-02-29	NA	"Released"	NA	NA	NA
"Sivextro (tablet)"	NA	2014-06-20	NA	"PMR 2159-4"	NA	2.86105407255305	"PK"	"N"	"N"	"Y"	"Y"	"N"	NA	"Antiinfectives for systemic use"	"N"	2017-04-30	2019-08-15	"Fulfilled"	NA	NA	NA
"Sivextro (tablet)"	NA	2014-06-20	NA	"PMR 2159-5"	NA	5.11156741957563	"safety"	"Y"	"Y"	"N"	"N"	"N"	NA	"Antiinfectives for systemic use"	"N"	2019-07-31	2024-06-06	"Submitted"	NA	NA	NA
"Bridion"	"sugammadex"	2015-12-15	"To reverse effects of neuromuscular blocking drugs used during surgery"	"PMR 3003-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials
Dosing trial"	5.79329226557153	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2021-09-30	2020-08-26	"Fulfilled"	"3003-8"	"3003-5"	"addition of pediatric approval"
"Bridion"	NA	2015-12-15	NA	NA	NA	5.79329226557153	"efficacy"	"Y"	"Y"	"N"	"N"	"N"	"N"	"Other"	"N"	2021-09-30	2024-06-12	"Fulfilled"	"3003-9"	"3003-6"	"age expansion"
"Bridion"	NA	2015-12-15	NA	NA	NA	5.79329226557153	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2021-09-30	NA	"Released"	NA	"3003-7"	NA
"Cosentyx"	"secukinumab"	2015-01-21	"To treat adults with moderate-to-severe plaque psoriasis"	"PMR 2848-1"	"Primary safety study or clinical trial"	11.1047227926078	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"125504"	2026-02-28	2020-07-30	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Genvoya"	"a fixed-dose combination tablet containing elvitegravir, cobicistat, emtricitabine, and tenofovir alafenamide"	2015-11-05	"For use as a complete regimen for the treatment of HIV-1 infection in adults and pediatric patients 12 years of age and older"	"PMR 2971-1"	"Primary safety study or clinical trial"	2.40109514031485	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2018-03-31	2017-04-03	"Fulfilled"	NA	NA	"age expansion"
"Praluent"	"alirocumab"	2015-07-24	"To treat certain patients with high cholesterol"	"PMR 2927-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	7.18685831622177	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"125559"	2022-09-30	2023-05-10	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Repatha"	"evolocumab"	2015-08-27	"To treat certain patients with high cholesterol"	"PMR 2946-1"	NA	4.67624914442163	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"125522"	2020-04-30	2021-11-16	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Tresiba"	"insulin degludec injection"	2015-09-25	"To improve blood sugar (glucose) control in adults with diabetes mellitus"	"PMR 2954-1"	"Primary safety study or clinical trial"	0.763860369609856	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"203314"	2016-06-30	2016-02-16	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Nucala"	"mepolizumab"	2015-11-04	"For use with other asthma medicines for the maintenance treatment of asthma in patients age 12 years and older."	"PMR 2979-1"	"Pharmacokinetic studies or clinical trials"	3.90417522245038	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"125526"	2019-09-30	2018-11-16	"Fulfilled"	NA	NA	"age expansion"
"Nucala"	NA	2015-11-04	NA	"PMR 2979-2"	"Primary safety study or clinical trial"	3.90417522245038	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"125526"	2019-09-30	2018-11-16	"Fulfilled"	NA	NA	NA
"Savaysa"	"edoxaban"	2015-01-08	"To reduce the risk of stroke and dangerous blood clots (systemic embolism) in patients with atrial fibrillation that is not caused by a heart valve problem"	"PMR 2852-1"	"Pharmacokinetic studies or clinical trials"	2.97878165639973	"PK"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Hematologic agents"	"N"	2017-12-31	2022-01-28	"Fulfilled"	NA	NA	"safety and effectiveness not established"
"Savaysa"	NA	2015-01-08	NA	"PMR 2852-2"	"Primary safety study or clinical trial"	7.47433264887064	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Hematologic agents"	"N"	2022-06-30	NA	"Delayed"	NA	NA	NA
"Veltassa"	"patiromer for oral suspension"	2015-10-21	"To treat hyperkalemia, a serious condition in which the amount of potassium in the blood is too high."	"PMR 2980-1"	NA	5.94387405886379	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2021-09-30	NA	"Delayed"	NA	NA	"addition of pediatric approval"
"Veltassa"	NA	2015-10-21	NA	"PMR 2980-2"	NA	9.77686516084873	"efficacy"	"Y"	"Y"	"N"	"N"	"N"	"N"	"Other"	"N"	2025-07-31	NA	"Delayed"	NA	NA	NA
"Avycaz"	"ceftazidime-avibactam"	2015-02-25	"To treat adults with complicated intra-abdominal infections (cIAI), in combination with metronidazole, and complicated urinary tract infections (cUTI), including kidney infections (pyelonephritis), who have limited or no alternative treatment options."	"PMR 2862-1"	"Primary safety study or clinical trial"	3.59479808350445	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2018-09-30	2018-09-14	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Avycaz"	NA	2015-02-25	NA	"PMR 2862-2"	"Primary safety study or clinical trial"	3.59479808350445	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2018-09-30	2018-09-14	"Fulfilled"	NA	NA	NA
"Avycaz"	NA	2015-02-25	NA	"PMR 2862-3"	"Primary safety study or clinical trial"	5.84804928131417	"safety"	"Y"	"Y"	"N"	"N"	"N"	"N"	"Antiinfectives for systemic use"	"N"	2020-12-31	2023-07-28	"Fulfilled"	NA	NA	"age expansion"
"Varubi"	"rolapitant"	2015-09-01	"To prevent delayed phase chemotherapy-induced nausea and vomiting (emesis)"	"PMR 2879-2"	"Pharmacokinetic studies or clinical trials"	5.24845995893224	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2020-11-30	NA	"Released"	NA	"2879-7"	"NONE"
"Varubi"	NA	2015-09-01	NA	"PMR 2879-3"	"Primary safety study or clinical trial"	10.9979466119097	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2026-08-31	NA	"Released"	NA	"2879-8"	NA
"Viberzi"	"eluxadoline"	2015-05-27	"To treat irritable bowel syndrome with diarrhea (IBS-D) in adult men and women."	"PMR 2901-1"	"Pharmacokinetic studies or clinical trials"	4.68172484599589	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2020-01-31	2024-07-22	"Submitted"	NA	"2901-10"	"NONE"
"Viberzi"	NA	2015-05-27	NA	NA	NA	4.68172484599589	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Alimentary tract and metabolism"	"N"	2020-01-31	NA	"Ongoing"	NA	"2901-11"	NA
"Viberzi"	NA	2015-05-27	NA	"PMR 2901-2"	"Pharmacokinetic studies or clinical trials"	11.0937713894593	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2026-06-30	NA	"Delayed"	NA	"2901-12"	NA
"Viberzi"	NA	2015-05-27	NA	NA	NA	11.0937713894593	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Alimentary tract and metabolism"	"N"	2026-06-30	NA	"Pending"	NA	"2901-13"	NA
"Viberzi"	NA	2015-05-27	NA	"PMR 2901-3"	"Pharmacokinetic studies or clinical trials"	12.0930869267625	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2027-06-30	NA	"Ongoing"	NA	"2901-14"	NA
"Rexulti"	"brexpiprazole"	2015-07-10	"To treat schizophrenia and as an add on to an antidepressant to treat major depressive disorder"	"PMR 2929-1"	NA	1.39356605065024	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2016-11-30	2017-08-01	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Rexulti"	NA	2015-07-10	NA	"PMR 2929-2"	NA	5.97399041752224	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2021-06-30	2021-06-30	"Fulfilled"	NA	"2929-5"	NA
"Rexulti"	NA	2015-07-10	NA	"PMR 2929-3"	NA	7.97262149212868	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2023-06-30	NA	"Released"	NA	NA	NA
"Vraylar"	"cariprazine"	2015-09-17	"To treat schizophrenia and bipolar disorder in adults"	"PMR 2947-3"	NA	3.78370978781656	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"N"	2019-06-30	2020-03-27	"Fulfilled"	NA	NA	"NONE"
"Vraylar"	NA	2015-09-17	NA	"PMR 2947-4"	NA	7.7015742642026	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2023-05-31	NA	"Released"	NA	NA	NA
"Vraylar"	NA	2015-09-17	NA	"PMR 2947-5"	NA	7.53456536618754	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"N"	2023-03-31	NA	"Released"	NA	NA	NA
"Vraylar"	NA	2015-09-17	NA	"PMR 2947-6"	NA	9.78507871321013	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"N"	2025-06-30	NA	"Pending"	NA	NA	NA
"Eucrisa"	"crisaborole"	2016-12-14	"To treat mild to moderate eczema (atopic dermatitis) in patients two years of age and older"	"PMR 3142-1"	NA	3.12936344969199	"safety"	"N"	"Y"	"N"	"N"	"N"	"N"	"Hematologic agents"	"N"	2020-01-31	2019-09-23	"Fulfilled"	NA	NA	"age expansion"
"Zinplava"	"bezlotoxumab"	2016-10-21	"To reduce the recurrence of Clostridium difficile infection in patients aged 18 years or older"	"PMR 3118-1"	NA	6.10814510609172	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"761046"	2022-11-30	2022-11-28	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Taltz"	"ixekizumab"	2016-03-22	"To treat adults with moderate-to-severe plaque psoriasis."	"PMR 3049-1"	NA	6.02327173169062	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"125521"	2022-03-31	2019-09-27	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Adlyxin"	"lixisenatide"	2016-07-27	"To improve glycemic control (blood sugar levels)"	"PMR 3102-1"	NA	2.17659137577002	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"208471"	2018-09-30	2020-09-30	"Fulfilled"	NA	NA	"NONE"
"Adlyxin"	NA	2016-07-27	NA	"PMR 3102-2"	NA	8.17796030116359	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"208471"	2024-09-30	NA	"Released"	NA	NA	NA
"Epclusa"	"sofosbuvir and velpatasvir"	2016-06-28	"To treat all six major forms of hepatitis C virus"	"PMR 3092-1"	NA	3.25530458590007	"safety"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2019-09-30	2019-09-19	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Epclusa"	NA	2016-06-28	NA	"PMR 3092-2"	NA	4.83778234086242	"safety"	"N"	"N"	"Y"	"Y"	"N"	"N"	"Antiinfectives for systemic use"	"N"	2021-04-30	2020-12-15	"Fulfilled"	NA	NA	NA
"Zepatier"	"elbasvir and grazoprevir"	2016-01-28	"To treat patients with chronic hepatitis C virus (HCV) genotypes 1 and 4 infections in adult patients."	"PMR 3008-1"	NA	5.01026694045175	"PK"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2021-01-31	2021-02-19	"Fulfilled"	NA	"3818-1"	"addition of pediatric approval"
"Zepatier"	NA	2016-01-28	NA	"PMR 3008-2"	NA	7.50444900752909	"safety"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2023-07-31	NA	"Released"	NA	NA	NA
"Briviact"	"brivaracetam"	2016-02-18	"To treat partial onset seizures in patients age 16 years and older with epilepsy."	"PMR 3042-1"	NA	4.36413415468857	"PK"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Nervous system"	"N"	2020-06-30	2017-07-07	"Fulfilled"	NA	NA	"age expansion"
"Briviact"	NA	2016-02-18	NA	"PMR 3042-2"	NA	4.36413415468857	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Nervous system"	"N"	2020-06-30	2020-10-27	"Fulfilled"	NA	NA	"age expansion"
"Briviact"	NA	2016-02-18	NA	"PMR 3042-3"	NA	6.53251197809719	"safety"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Nervous system"	"N"	2022-08-31	2020-10-27	"Fulfilled"	NA	NA	NA
"Briviact"	NA	2016-02-18	NA	"PMR 3042-4"	NA	6.53251197809719	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Nervous system"	"N"	2022-08-31	2022-08-16	"Fulfilled"	NA	"3042-5"	NA
"Trulance"	"plecanatide"	2017-01-19	"To treat Chronic Idiopathic Constipation (CIC) in adult patients."	"PMR 3117-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	2.10814510609172	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2019-02-28	NA	"Delayed"	NA	NA	"NONE"
"Trulance"	NA	2017-01-19	NA	"PMR 3117-2"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	4.10951403148528	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Alimentary tract and metabolism"	"N"	2021-02-28	NA	"Delayed"	NA	NA	NA
"Trulance"	NA	2017-01-19	NA	"PMR 3117-3"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	5.1088295687885	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2022-02-28	NA	"Delayed"	NA	NA	NA
"Trulance"	NA	2017-01-19	NA	"PMR 3117-4"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	6.10814510609172	"efficacy"	"N"	"N"	"Y"	"N"	"N"	"N"	"Alimentary tract and metabolism"	"N"	2023-02-28	NA	"Delayed"	NA	NA	NA
"Trulance"	NA	2017-01-19	NA	"PMR 3117-5"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	9.1088295687885	"efficacy"	"N"	"N"	"Y"	"N"	"N"	"N"	"Alimentary tract and metabolism"	"N"	2026-02-28	NA	"Delayed"	NA	NA	NA
"Trulance"	NA	2017-01-19	NA	"PMR 3117-6"	"Primary safety clinical trial (e.g., to evaluate the long-term safety of a drug; to evaluate drug toxicity in a subpopulation; may include secondary efficacy endpoints) – excludes SOT Safety outcomes trial (SOT)**"	9.61259411362081	"safety"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2026-08-31	NA	"Delayed"	NA	NA	NA
"Parsabiv"	"etelcalcetide"	2017-02-07	"To treat secondary hyperparathyroidism in adult patients with chronic kidney disease undergoing dialysis"	"PMR 3108-1"	"Pharmacokinetic (PK) and/or pharmacodynamic (PD) clinical trial"	0.309377138945927	"PK"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2017-05-31	2017-05-17	"Fulfilled"	NA	NA	"NONE"
"Parsabiv"	NA	2017-02-07	NA	"PMR 3108-2"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	6.39014373716632	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2023-06-30	NA	"Delayed"	NA	NA	NA
"Parsabiv"	NA	2017-02-07	NA	"PMR 3108-3"	"Pharmacokinetic (PK) and/or pharmacodynamic (PD) clinical trial"	6.89390828199863	"PK"	"N"	"N"	"N"	"N"	"N"	"Y"	"Other"	"N"	2023-12-31	NA	"Pending"	NA	NA	NA
"Siliq"	"brodalumab"	2017-02-15	"To treat adults with moderate-to-severe plaque psoriasis"	"PMR 3164-1"	"Pharmacokinetic (PK) and/or pharmacodynamic (PD) clinical trial"	2.36824093086927	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"761032"	2019-06-30	NA	"Delayed"	NA	NA	"NONE"
"Siliq"	NA	2017-02-15	NA	"PMR 3164-2"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	7.37029431895962	"efficacy"	"N"	"N"	"N"	"N"	"Y"	NA	"Immunomodulating agents"	"761032"	2024-06-30	NA	"Delayed"	NA	NA	NA
"Siliq"	NA	2017-02-15	NA	"PMR 3164-3"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	12.3696098562628	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Immunomodulating agents"	"761032"	2029-06-30	NA	"Pending"	NA	NA	NA
"Ocrevus"	"ocrelizumab"	2017-03-28	"To treat patients with relapsing and primary progressive forms of multiple sclerosis"	"PMR 3194-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	6.84462696783025	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"761053"	2024-01-31	NA	"Pending"	NA	"3194-14"	"NONE"
"Dupixent"	"dupilumab"	2017-03-28	"To treat adults with moderate-to-severe eczema (atopic dermatitis)"	"PMR 3183-1"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	2.507871321013	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"761055"	2019-09-30	2019-11-26	"Fulfilled"	NA	NA	"age expansion"
"Dupixent"	NA	2017-03-28	NA	"PMR 3183-2"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	2.17385352498289	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Other"	"761055"	2019-05-31	2018-09-11	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Dupixent"	NA	2017-03-28	NA	"PMR 3183-3"	"Primary safety clinical trial (e.g., to evaluate the long-term safety of a drug; to evaluate drug toxicity in a subpopulation; may include secondary efficacy endpoints) – excludes SOT Safety outcomes trial (SOT)**"	6.00684462696783	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"761055"	2023-03-31	NA	"Ongoing"	NA	NA	NA
"Dupixent"	NA	2017-03-28	NA	"PMR 3183-4"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	4.67624914442163	"efficacy"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Other"	"761055"	2021-11-30	2021-12-09	"Fulfilled"	NA	NA	"age expansion"
"Kevzara"	"sarilumab"	2017-05-22	"To treat adult rheumatoid arthritis"	"PMR 3218-1"	"Pharmacokinetic (PK) and/or pharmacodynamic (PD) clinical trial"	1.60985626283368	"PK"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Immunomodulating agents"	"761037"	2018-12-31	2023-08-10	"Submitted"	NA	"3218-3"	"addition of pediatric approval"
"Kevzara"	NA	2017-05-22	NA	"PMR 3218-2"	"Primary efficacy clinical trial (i.e, with a primary efficacy endpoint; to further define efficacy; may include secondary safety endpoints)"	5.69472963723477	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Immunomodulating agents"	"761037"	2023-01-31	NA	"Released"	NA	NA	NA
"Tremfya"	"guselkumab"	2017-07-13	"For the treatment of adult patients with moderate-to-severe plaque psoriasis"	"PMR 3225-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	6.79808350444901	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"761061"	2024-04-30	NA	"Delayed"	NA	NA	"NONE"
"Vosevi"	"sofosbuvir, velpatasvir and voxilaprevir"	2017-07-18	"To treat adults with chronic hepatitis C virus"	"PMR 3232-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	4.03559206023272	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2021-07-31	NA	"Released"	NA	NA	"NONE"
"Mavyret"	"glecaprevir and pibrentasvir"	2017-08-03	"To treat adults with chronic hepatitis C virus"	"PMR 3246-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	5.49486652977413	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2023-01-31	2020-12-10	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Solosec"	"secnidazole"	2017-09-15	"To treat bacterial vaginosis"	"PMR 3249-1"	"Primary safety clinical trial (e.g., to evaluate the long-term safety of a drug; to evaluate drug toxicity in a subpopulation; may include secondary efficacy endpoints) – excludes SOT Safety outcomes trial (SOT)**"	3.54004106776181	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Other"	"N"	2021-03-31	2021-03-19	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Fasenra"	"benralizumab"	2017-11-14	"For add-on maintenance treatment of patients with severe asthma aged 12 years and older, and with an eosinophilic phenotype"	"PMR 3287-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	5.12799452429843	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"761070"	2022-12-31	2023-03-09	"Fulfilled"	NA	NA	"age expansion"
"Ozempic"	"semaglutide"	2017-12-05	"To improve glycemic control in adults with type 2 diabetes mellitus"	"PMR 3294-1"	"Primary safety clinical trial (e.g., to evaluate the long-term safety of a drug; to evaluate drug toxicity in a subpopulation; may include secondary efficacy endpoints) – excludes SOT Safety outcomes trial (SOT)**"	9.90280629705681	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2027-10-31	NA	"Ongoing"	NA	"3294-5"	"NONE"
"Steglatro"	"ertugliflozin"	2017-12-19	"To improve glycemic control in adults with type 2 diabetes mellitus"	"PMR 3311-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	8.78028747433265	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2026-09-30	NA	"Delayed"	NA	NA	"NONE"
"Giapreza"	"angiotensin II"	2017-12-21	"To increase blood pressure in adults with septic or other distributive shock"	"PMR 3320-2"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	4.18891170431212	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2022-02-28	NA	"Released"	NA	NA	"NONE"
"Giapreza"	NA	2017-12-21	NA	"PMR 3320-3"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	6.27515400410678	"safety"	"Y"	"Y"	"N"	"N"	"N"	"N"	"Other"	"N"	2024-03-31	NA	"Released"	NA	NA	NA
"Ilumya"	"tildrakizumab"	2018-03-20	"To treat adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy
Drug Trials Snapshot"	"PMR 3357-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	7.61670088980151	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"761067"	2025-10-31	NA	"Ongoing"	NA	NA	"NONE"
"Lokelma"	"sodium zirconium cyclosilicate"	2018-05-18	"To treat hyperkalemia
Drug Trials Snapshot"	"PMR 3373-1"	"Combined PK/PD, safety and/or efficacy trial (PREA* PMRs only)"	3.62217659137577	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2021-12-31	NA	"Ongoing"	NA	NA	"NONE"
"Aemcolo"	"rifamycin"	2018-11-16	"To treat travelers’ diarrhea"	"PMR 3505-1"	"Primary safety clinical trial (e.g., to evaluate the long-term safety of a drug; to evaluate drug toxicity in a subpopulation; may include secondary efficacy endpoints) – excludes SOT Safety outcomes trial (SOT)**"	4.12320328542094	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2022-12-31	NA	"Delayed"	NA	NA	"NONE"
